codigo,titulo,diretor,pais,ano,duracao,produtora,festivais,premios,data_lancamento,tipo_duracao
148,Amarelo manga,Cl&aacute;udio Assis,Brasil,2003,100,Olhos de Cão Produções Cinematográficas,Não informado,"- Melhor Filme - Fórum do Novo Cinema, concedido pela Federação Internacional dos Cinemas de Arte (CICAE) - 53o Festival de Berlim - Alemanha (2003)- Melhor Filme - 15o Festival de Cinema Latino-Americano de Toulouse - França (2003)- Melhor Filme de Diretor Estreante - Opera Prima - 25o Festival Internacional del Nuevo Cine Latinoamericano - Havana, Cuba (2003)- Melhor Filme e Melhor Ator - 7º Festival de Cinema Luso Brasileiro de Santa Maria da Feira - Portugal (2003)- Melhor Filme, Melhor Filme na escolha da Crítica, Melhor Filme na escolha do Público, Melhor Ator, Melhor Fotografia e Melhor Montagem - 35o Festival de Brasília - Brasil (2002)- Melhor Filme, Melhor Direção, Melhor Roteiro, Melhor Fotografia, Melhor Direção de Arte, Melhor Figurino, Melhor Música, Melhor Ator, Melhor Atriz, Melhor Montagem - 13o CineCeará - Brasil (2003)- Melhor Fotografia - 7o Festival de Cinema Brasileiro de Miami - EUA (2003)- Melhor Diretor e Melhor Montagem - APCA - Associação Paulista de Críticos de Arte - São Paulo, Brasil (2003)- Melhor Filme na escolha do público - Festival SESC dos Melhores Filmes - São Paulo, Brasil (2003)- Melhor Fotografia - Grande Prêmio TAM do Cinema Brasileiro - Rio de Janeiro, Brasil (2004)",2003-08-15,Longa-metragem
149,A canga,Marcus Vilar,Brasil,2000,12,Não informado,Não informado,"-Prêmio Especial do Júri no Festival de Cinema de Santa Maria da Feira, em Portugal, realizado em abril de 2001.-Melhor filme no Cine Ceará, realizado em junho de 2001-Melhor Música, Prêmio Aquisição Canal Brasil e Júri Popular, no Festival de Cinema de Gramado, realizado em agosto de 2001-Prêmio da ABD-SP, Prêmio Menção Honrosa da TV Cultura, e Prêmio do Júri Popular, no Festival Internacional de Curtas-Metragens de São Paulo, realizado em agosto de 2001.-Melhor fotografia, Melhor adaptação Literária e Prêmio Glauber Rocha - Melhor da Jornada, na Jornada de Cinema da Bahia, realizado em setembro de 2001-Prêmio Aquisição do Ministério da Cultura, no Festival de Cinema de Vitória, realizado em outubro de 2001-Prêmio de Melhor Direção, no Festival de Cinema de Cuiabá, realizado em novembro de 2001.-Prêmio de Melhor Direção, no Festival de Cinema de Recife, realizado em abril de 2002.-Prêmio de Melhor filme, no Festival de Cinema de Florianópolis, realizado em maio de 2002.-Prêmio de Melhor filme, no Festival Internacional do Meio Ambiente, realizado em maio de 2002,  na cidade de Goiás Velho, Goiás. -Prêmio de Melhor Direção, no Festival Internacional  de Cinema Brasileiro, em Miami, realizado em maio de 2002.",,Curta-metragem
150,"Batismo de Carmencita, 25 de junho de 1921",Autoria desconhecida,Brasil,1921,2,Não informado,Não informado,Não informado,,Curta-metragem
151,Exemplo regenerador,Jos&eacute; Medina,Brasil,1919,7,Não informado,Não informado,Não informado,,Curta-metragem
152,Brasilianas: Aboio e Cantigas,Humberto Mauro,Brasil,1954,10,Não informado,Não informado,Não informado,,Curta-metragem
153,"Brasilianas: Canções Populares - ""Chuá Chuá..."" e ""Casinha Pequenina""",Humberto Mauro,Brasil,1945,7,Não informado,Não informado,Não informado,,Curta-metragem
154,Alma carioca - Um choro de menino,William C&ocirc;go,Brasil,2002,5,Não informado,Não informado,Não informado,,Curta-metragem
155,"Brasilianas: Canções Populares - ""Azulão"" e ""O Pinhal""",Humberto Mauro,Brasil,1948,8,Não informado,Não informado,Não informado,,Curta-metragem
156,Cafuné,Bruno Vianna,Brasil,2006,71,Não informado,Não informado,Não informado,,Longa-metragem
157,Disfarce explosivo,M&aacute;rio Galindo,Brasil,2000,7,Não informado,Não informado,"-5º Festival de Cinema, Vídeo e Dcine de Curitiba  - Melhor Filme pelo Voto do Júri Popular  -9º Anima Mundi - Rio de Janeiro - 2º Melhor Animação Infantil-9º Anima Mundi - São Paulo - 3º Melhor Animação Infantil-9º Anima Mundi - Rio/São Paulo - Prêmio CTAV Melhor Filme Brasileiro",,Curta-metragem
